#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1N6AF0LY2MN810689,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN810935,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN800060,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN800091,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN800401,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN800723,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN800866,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN800883,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN801158,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN801306,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN801466,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN801953,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN802519,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN802729,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN803458,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN803475,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN803525,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN803556,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN803752,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN803900,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN804058,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN804061,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN804657,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN804805,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN806246,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN807820,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN809633,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY3MN810135,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN800018,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN800049,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN800066,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN800214,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN800410,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN800679,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN800777,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN800830,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN801752,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN801945,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN801993,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN802528,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN802657,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN802772,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN802920,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN802951,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN803386,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN803601,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN803680,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN804148,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN804277,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN805171,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN806997,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN807700,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN807888,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN807969,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN809141,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN809625,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN810127,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY4MN811181,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN800044,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN800058,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN800089,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN800206,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN800223,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN800237,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN800318,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN800335,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN800349,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN800531,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN801078,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN801372,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN801615,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN802361,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN802425,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN802473,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN802490,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN802635,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN803574,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN803610,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN803655,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN803803,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN804501,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN807592,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN807642,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN808340,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN808791,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY5MN810461,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN800036,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN800084,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN800098,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN800280,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN800568,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN800585,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN802501,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN802594,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN802644,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN803213,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN803258,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN803311,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN803373,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY6MN803485,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
